Time,Speed
0.0866,300
0.0867,300
0.0868,300
0.0869,300
0.087,300
0.0871,300
0.0872,300
0.0873,300
0.0874,300
0.0875,300
0.0876,300
0.0877,300
0.0878,300
0.0879,300
0.088,300
0.0881,300
0.0882,300
0.0883,300
0.0884,300
0.0885,300
0.0886,300
0.0887,300
0.0888,300
0.0889,300
0.089,300
0.0891,300
0.0892,300
0.0893,300
0.0894,300
0.0895,300
0.0896,300
0.0897,300
0.0898,300
0.0899,300
0.09,300
0.0901,300
0.0902,300
0.0903,300
0.0904,300
0.0905,300
0.0906,300
0.0907,300
0.0908,300
0.0909,300
0.091,300
0.0911,300
0.0912,300
0.0913,300
0.0914,300
0.0915,300
0.0916,300
0.0917,300
0.0918,300
0.0919,300
0.092,300
0.0921,300
0.0922,300
0.0923,300
0.0924,300
0.0925,300
0.0926,300
0.0927,300
0.0928,300
0.0929,300
0.093,300
0.0931,300
0.0932,300
0.0933,300
0.0934,300
0.0935,300
0.0936,300
0.0937,300
0.0938,300
0.0939,300
0.094,300
0.0941,300
0.0942,300
0.0943,300
0.0944,300
0.0945,300
0.0946,300
0.0947,300
0.0948,300
0.0949,300
0.095,300
0.0951,300
0.0952,300
0.0953,300
0.0954,300
0.0955,300
0.0956,300
0.0957,300
0.0958,300
0.0959,300
0.096,300
0.0961,300
0.0962,300
0.0963,300
0.0964,300
0.0965,300
0.0966,300
0.0967,300
0.0968,300
0.0969,300
0.097,300
0.0971,300
0.0972,300
0.0973,300
0.0974,300
0.0975,300
0.0976,300
0.0977,300
0.0978,300
0.0979,300
0.098,300
0.0981,300
0.0982,300
0.0983,300
0.0984,300
0.0985,300
0.0986,300
0.0987,300
0.0988,300
0.0989,300
0.099,300
0.0991,300
0.0992,300
0.0993,300
0.0994,300
0.0995,300
0.0996,300
0.0997,300
0.0998,300
0.0999,300
0.1,300
0.1001,300
0.1002,300
0.1003,300
0.1004,300
0.1005,300
0.1006,300
0.1007,300
0.1008,300
0.1009,300
0.101,300
0.1011,300
0.1012,300
0.1013,300
0.1014,300
0.1015,300
0.1016,300
0.1017,300
0.1018,300
0.1019,300
0.102,300
0.1021,300
0.1022,300
0.1023,300
0.1024,300
0.1025,300
0.1026,300
0.1027,300
0.1028,300
0.1029,300
0.103,300
0.1031,300
0.1032,300
0.1033,300
0.1034,300
0.1035,300
0.1036,300
0.1037,300
0.1038,300
0.1039,300
0.104,300
0.1041,300
0.1042,300
0.1043,300
0.1044,300
0.1045,300
0.1046,300
0.1047,300
0.1048,300
0.1049,300
0.105,300
0.1051,300
0.1052,300
0.1053,300
0.1054,300
0.1055,300
0.1056,300
0.1057,300
0.1058,300
0.1059,300
0.106,300
0.1061,300
0.1062,300
0.1063,300
0.1064,300
0.1065,300
0.1066,300
0.1067,300
0.1068,300
0.1069,300
0.107,300
0.1071,300
0.1072,300
0.1073,300
0.1074,300
0.1075,300
0.1076,300
0.1077,300
0.1078,300
0.1079,300
0.108,300
0.1081,300
0.1082,300
0.1083,300
0.1084,300
0.1085,300
0.1086,300
0.1087,300
0.1088,300
0.1089,300
0.109,300
0.1091,300
0.1092,300
0.1093,300
0.1094,300
0.1095,300
0.1096,300
0.1097,300
0.1098,300
0.1099,300
0.11,300
0.1101,300
0.1102,300
0.1103,300
0.1104,300
0.1105,300
0.1106,300
0.1107,300
0.1108,300
0.1109,300
0.111,300
0.1111,300
0.1112,300
0.1113,300
0.1114,300
0.1115,300
0.1116,300
0.1117,300
0.1118,300
0.1119,300
0.112,300
0.1121,300
0.1122,300
0.1123,300
0.1124,300
0.1125,300
0.1126,300
0.1127,300
0.1128,300
0.1129,300
0.113,300
0.1131,300
0.1132,300
0.1133,300
0.1134,300
0.1135,300
0.1136,300
0.1137,300
0.1138,300
0.1139,300
0.114,300
0.1141,300
0.1142,300
0.1143,300
0.1144,300
0.1145,300
0.1146,300
0.1147,300
0.1148,300
0.1149,300
0.115,300
0.1151,300
0.1152,300
0.1153,300
0.1154,300
0.1155,300
0.1156,300
0.1157,300
0.1158,300
0.1159,300
0.116,300
0.1161,300
0.1162,300
0.1163,300
0.1164,300
0.1165,300
0.1166,300
0.1167,300
0.1168,300
0.1169,300
0.117,300
0.1171,300
0.1172,300
0.1173,300
0.1174,300
0.1175,300
0.1176,300
0.1177,300
0.1178,300
0.1179,300
0.118,300
0.1181,300
0.1182,300
0.1183,300
0.1184,300
0.1185,300
0.1186,300
0.1187,300
0.1188,300
0.1189,300
0.119,300
0.1191,300
0.1192,300
0.1193,300
0.1194,300
0.1195,300
0.1196,300
0.1197,300
0.1198,300
0.1199,300
0.12,300
0.1201,300
0.1202,300
0.1203,300
0.1204,300
0.1205,300
0.1206,300
0.1207,300
0.1208,300
0.1209,300
0.121,300
0.1211,300
0.1212,300
0.1213,300
0.1214,300
0.1215,300
0.1216,300
0.1217,300
0.1218,300
0.1219,300
0.122,300
0.1221,300
0.1222,300
0.1223,300
0.1224,300
0.1225,300
0.1226,300
0.1227,300
0.1228,300
0.1229,300
0.123,300
0.1231,300
0.1232,300
0.1233,300
0.1234,300
0.1235,300
0.1236,300
0.1237,300
0.1238,300
0.1239,300
0.124,300
0.1241,300
0.1242,300
0.1243,300
0.1244,300
0.1245,300
0.1246,300
0.1247,300
0.1248,300
0.1249,300
0.125,300
0.1251,300
0.1252,300
0.1253,300
0.1254,300
0.1255,300
0.1256,300
0.1257,300
0.1258,300
0.1259,300
0.126,300
0.1261,300
0.1262,300
0.1263,300
0.1264,300
0.1265,300
0.1266,300
0.1267,300
0.1268,300
0.1269,300
0.127,300
0.1271,300
0.1272,300
0.1273,300
0.1274,300
0.1275,300
0.1276,300
0.1277,300
0.1278,300
0.1279,300
0.128,300
0.1281,300
0.1282,300
0.1283,300
0.1284,300
0.1285,300
0.1286,300
0.1287,300
0.1288,300
0.1289,300
0.129,300
0.1291,300
0.1292,300
0.1293,300
0.1294,300
0.1295,300
0.1296,300
0.1297,300
0.1298,300
0.1299,300
0.13,300
0.1301,300
0.1302,300
0.1303,300
0.1304,300
0.1305,300
0.1306,300
0.1307,300
0.1308,300
0.1309,300
0.131,300
0.1311,300
0.1312,300
0.1313,300
0.1314,300
0.1315,300
0.1316,300
0.1317,300
0.1318,300
0.1319,300
0.132,300
0.1321,300
0.1322,300
0.1323,300
0.1324,300
0.1325,300
0.1326,300
0.1327,300
0.1328,300
0.1329,300
0.133,300
0.1331,300
0.1332,300
0.1333,300
0.1334,300
0.1335,300
0.1336,300
0.1337,300
0.1338,300
0.1339,300
0.134,300
0.1341,300
0.1342,300
0.1343,300
0.1344,300
0.1345,300
0.1346,300
0.1347,300
0.1348,300
0.1349,300
0.135,300
0.1351,300
0.1352,300
0.1353,300
0.1354,300
0.1355,300
0.1356,300
0.1357,300
0.1358,300
0.1359,300
0.136,300
0.1361,300
0.1362,300
0.1363,300
0.1364,300
0.1365,300
0.1366,300
0.1367,300
0.1368,300
0.1369,300
0.137,300
0.1371,300
0.1372,300
0.1373,300
0.1374,300
0.1375,300
0.1376,300
0.1377,300
0.1378,300
0.1379,300
0.138,300
0.1381,300
0.1382,300
0.1383,300
0.1384,300
0.1385,300
0.1386,300
0.1387,300
0.1388,300
0.1389,300
0.139,300
0.1391,300
0.1392,300
0.1393,300
0.1394,300
0.1395,300
0.1396,300
0.1397,300
0.1398,300
0.1399,300
0.14,300
0.1401,300
0.1402,300
0.1403,300
0.1404,300
0.1405,300
0.1406,300
0.1407,300
0.1408,300
0.1409,300
0.141,300
0.1411,300
0.1412,300
0.1413,300
0.1414,300
0.1415,300
0.1416,300
0.1417,300
0.1418,300
0.1419,300
0.142,300
0.1421,300
0.1422,300
0.1423,300
0.1424,300
0.1425,300
0.1426,300
0.1427,300
0.1428,300
0.1429,300
0.143,300
0.1431,300
0.1432,300
0.1433,300
0.1434,300
0.1435,300
0.1436,300
0.1437,300
0.1438,300
0.1439,300
0.144,300
0.1441,300
0.1442,300
0.1443,300
0.1444,300
0.1445,300
0.1446,300
0.1447,300
0.1448,300
0.1449,300
0.145,300
0.1451,300
0.1452,300
0.1453,300
0.1454,300
0.1455,300
0.1456,300
0.1457,300
0.1458,300
0.1459,300
0.146,300
0.1461,300
0.1462,300
0.1463,300
0.1464,300
0.1465,300
0.1466,300
0.1467,300
0.1468,300
0.1469,300
0.147,300
0.1471,300
0.1472,300
0.1473,300
0.1474,300
0.1475,300
0.1476,300
0.1477,300
0.1478,300
0.1479,300
0.148,300
0.1481,300
0.1482,300
0.1483,300
0.1484,300
0.1485,300
0.1486,300
0.1487,300
0.1488,300
0.1489,300
0.149,300
0.1491,300
0.1492,300
0.1493,300
0.1494,300
0.1495,300
0.1496,300
0.1497,300
0.1498,300
0.1499,300
0.15,300
0.1501,300
0.1502,300
0.1503,300
0.1504,300
0.1505,300
0.1506,300
0.1507,300
0.1508,300
0.1509,300
0.151,300
0.1511,300
0.1512,300
0.1513,300
0.1514,300
0.1515,300
0.1516,300
0.1517,300
0.1518,300
0.1519,300
0.152,300
0.1521,300
0.1522,300
0.1523,300
0.1524,300
0.1525,300
0.1526,300
0.1527,300
0.1528,300
0.1529,300
0.153,300
0.1531,300
0.1532,300
0.1533,300
0.1534,300
0.1535,300
0.1536,300
0.1537,300
0.1538,300
0.1539,300
0.154,300
0.1541,300
0.1542,300
0.1543,300
0.1544,300
0.1545,300
0.1546,300
0.1547,300
0.1548,300
0.1549,300
0.155,300
0.1551,300
0.1552,300
0.1553,300
0.1554,300
0.1555,300
0.1556,300
0.1557,300
0.1558,300
0.1559,300
0.156,300
0.1561,300
0.1562,300
0.1563,300
0.1564,300
0.1565,300
0.1566,300
0.1567,300
0.1568,300
0.1569,300
0.157,300
0.1571,300
0.1572,300
0.1573,300
0.1574,300
0.1575,300
0.1576,300
0.1577,300
0.1578,300
0.1579,300
0.158,300
0.1581,300
0.1582,300
0.1583,300
0.1584,300
0.1585,300
0.1586,300
0.1587,300
0.1588,300
0.1589,300
0.159,300
0.1591,300
0.1592,300
0.1593,300
0.1594,300
0.1595,300
0.1596,300
0.1597,300
0.1598,300
0.1599,300
0.16,300
0.1601,300
0.1602,300
0.1603,300
0.1604,300
0.1605,300
0.1606,300
0.1607,300
0.1608,300
0.1609,300
0.161,300
0.1611,300
0.1612,300
0.1613,300
0.1614,300
0.1615,300
0.1616,300
0.1617,300
0.1618,300
0.1619,300
0.162,300
0.1621,300
0.1622,300
0.1623,300
0.1624,300
0.1625,300
0.1626,300
0.1627,300
0.1628,300
0.1629,300
0.163,300
0.1631,300
0.1632,300
0.1633,300
0.1634,300
0.1635,300
0.1636,300
0.1637,300
0.1638,300
0.1639,300
0.164,300
0.1641,300
0.1642,300
0.1643,300
0.1644,300
0.1645,300
0.1646,300
0.1647,300
0.1648,300
0.1649,300
0.165,300
0.1651,300
0.1652,300
0.1653,300
0.1654,300
0.1655,300
0.1656,300
0.1657,300
0.1658,300
0.1659,300
0.166,300
0.1661,300
0.1662,300
0.1663,300
0.1664,300
0.1665,300
0.1666,300
0.1667,300
0.1668,300
0.1669,300
0.167,300
0.1671,300
0.1672,300
0.1673,300
0.1674,300
0.1675,300
0.1676,300
0.1677,300
0.1678,300
0.1679,300
0.168,300
0.1681,300
0.1682,300
0.1683,300
0.1684,300
0.1685,300
0.1686,300
0.1687,300
0.1688,300
0.1689,300
0.169,300
0.1691,300
0.1692,300
0.1693,300
0.1694,300
0.1695,300
0.1696,300
0.1697,300
0.1698,300
0.1699,300
0.17,300
0.1701,300
0.1702,300
0.1703,300
0.1704,300
0.1705,300
0.1706,300
0.1707,300
0.1708,300
0.1709,300
0.171,300
0.1711,300
0.1712,300
0.1713,300
0.1714,300
0.1715,300
0.1716,300
0.1717,300
0.1718,300
0.1719,300
0.172,300
0.1721,300
0.1722,300
0.1723,300
0.1724,300
0.1725,300
0.1726,300
0.1727,300
0.1728,300
0.1729,300
0.173,300
0.1731,300
0.1732,300
0.1733,300
0.1734,300
0.1735,300
0.1736,300
0.1737,300
0.1738,300
0.1739,300
0.174,300
0.1741,300
0.1742,300
0.1743,300
0.1744,300
0.1745,300
0.1746,300
0.1747,300
0.1748,300
0.1749,300
0.175,300
0.1751,300
0.1752,300
0.1753,300
0.1754,300
0.1755,300
0.1756,300
0.1757,300
0.1758,300
0.1759,300
0.176,300
0.1761,300
0.1762,300
0.1763,300
0.1764,300
0.1765,300
0.1766,300
0.1767,300
0.1768,300
0.1769,300
0.177,300
0.1771,300
0.1772,300
0.1773,300
0.1774,300
0.1775,300
0.1776,300
0.1777,300
0.1778,300
0.1779,300
0.178,300
0.1781,300
0.1782,300
0.1783,300
0.1784,300
0.1785,300
0.1786,300
0.1787,300
0.1788,300
0.1789,300
0.179,300
0.1791,300
0.1792,300
0.1793,300
0.1794,300
0.1795,300
0.1796,300
0.1797,300
0.1798,300
0.1799,300
0.18,300
0.1801,300
0.1802,300
0.1803,300
0.1804,300
0.1805,300
0.1806,300
0.1807,300
0.1808,300
0.1809,300
0.181,300
0.1811,300
0.1812,300
0.1813,300
0.1814,300
0.1815,300
0.1816,300
0.1817,300
0.1818,300
0.1819,300
0.182,300
0.1821,300
0.1822,300
0.1823,300
0.1824,300
0.1825,300
0.1826,300
0.1827,300
0.1828,300
0.1829,300
0.183,300
0.1831,300
0.1832,300
0.1833,300
0.1834,300
0.1835,300
0.1836,300
0.1837,300
0.1838,300
0.1839,300
0.184,300
0.1841,300
0.1842,300
0.1843,300
0.1844,300
0.1845,300
0.1846,300
0.1847,300
0.1848,300
0.1849,300
0.185,300
0.1851,300
0.1852,300
0.1853,300
0.1854,300
0.1855,300
0.1856,300
0.1857,300
0.1858,300
0.1859,300
0.186,300
0.1861,300
0.1862,300
0.1863,300
0.1864,300
0.1865,300
0.1866,300
0.1867,300
0.1868,300
0.1869,300
0.187,300
0.1871,300
0.1872,300
0.1873,300
0.1874,300
0.1875,300
0.1876,300
0.1877,300
0.1878,300
0.1879,300
0.188,300
0.1881,300
0.1882,300
0.1883,300
0.1884,300
0.1885,300
0.1886,300
0.1887,300
0.1888,300
0.1889,300
0.189,300
0.1891,300
0.1892,300
0.1893,300
0.1894,300
0.1895,300
0.1896,300
0.1897,300
0.1898,300
0.1899,300
0.19,300
0.1901,300
0.1902,300
0.1903,300
0.1904,300
0.1905,300
0.1906,300
0.1907,300
0.1908,300
0.1909,300
0.191,300
0.1911,300
0.1912,300
0.1913,300
0.1914,300
0.1915,300
0.1916,300
0.1917,300
0.1918,300
0.1919,300
0.192,300
0.1921,300
0.1922,300
0.1923,300
0.1924,300
0.1925,300
0.1926,300
0.1927,300
0.1928,300
0.1929,300
0.193,300
0.1931,300
0.1932,300
0.1933,300
0.1934,300
0.1935,300
0.1936,300
0.1937,300
0.1938,300
0.1939,300
0.194,300
0.1941,300
0.1942,300
0.1943,300
0.1944,300
0.1945,300
0.1946,300
0.1947,300
0.1948,300
0.1949,300
0.195,300
0.1951,300
0.1952,300
0.1953,300
0.1954,300
0.1955,300
0.1956,300
0.1957,300
0.1958,300
0.1959,300
0.196,300
0.1961,300
0.1962,300
0.1963,300
0.1964,300
0.1965,300
0.1966,300
0.1967,300
0.1968,300
0.1969,300
0.197,300
0.1971,300
0.1972,300
0.1973,300
0.1974,300
0.1975,300
0.1976,300
0.1977,300
0.1978,300
0.1979,300
0.198,300
0.1981,300
0.1982,300
0.1983,300
0.1984,300
0.1985,300
0.1986,300
0.1987,300
0.1988,300
0.1989,300
0.199,300
0.1991,300
0.1992,300
0.1993,300
0.1994,300
0.1995,300
0.1996,300
0.1997,300
0.1998,300
0.1999,300
0.2,300
0.2001,300
0.2002,300
0.2003,300
0.2004,300
